Autoria;Localização de onde foi publicada a obra referenciada;Data de publicação da obra referenciada;Língua da publicação - tradução;Localização da autoria original;Referência completa como consta no artigo;;;;;;;;;;;;;;;;;;;;;
CAMPOS Augusto de;Brasil;1982;Português;Brasil;CAMPOS, Augusto de. Pagu: vida-obra. São Paulo: Brasiliense, 1982.;;;;;;;;;;;;;;;;;;;;;
DRUMMOND DE ANDRADE Carlos;Brasil;1985;Português;Brasil;DRUMMOND DE ANDRADE, Carlos. O observador no escritório. Rio de Janeiro: Record, 1985.;;;;;;;;;;;;;;;;;;;;;
FERRAZ Geraldo;Brasil;1983;Português;Brasil;FERRAZ, Geraldo. Depois de tudo. São Paulo: Paz e Terra, 1983.;;;;;;;;;;;;;;;;;;;;;
WOLFF Janet;Inglaterra;1990;Inglês;Inglaterra;WOLFF, Janet. Feminine sentences: essays on women and culture. Cambridge: Polity Press, 1990.;;;;;;;;;;;;;;;;;;;;;
TEIXEIRA LEITE José Roberto;Brasil;1978;Português;Brasil;TEIXEIRA LEITE, José Roberto. Pintura moderna brasileira. São Paulo: Record, 1978.;;;;;;;;;;;;;;;;;;;;;
ANDRADE Oswald de;Brasil;1933;Português;Brasil;ANDRADE, Oswald de. Prefácio. In: ANDRADE, Oswald de. Serafim Ponte Grande. São Paulo: [s.n.], 1933.;;;;;;;;;;;;;;;;;;;;;
MARTINS Wilson;Brasil;1978;Português;Brasil;MARTINS, Wilson. História da inteligência brasileira. São Paulo: Cultrix, 1978.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR Simone;França;1949;Francês;França;Beauvoir, S.: Le deuxième sexe, Gallimard, Paris, 1949;;;;;;;;;;;;;;;;;;;;;
DOUGLAS Mary;Brasil;1966;Inglês;Inglaterra;Douglas, M.: Pureza e perigo, Perspectiva, SP, 1966.;;;;;;;;;;;;;;;;;;;;;
DURKHEIM Émile MAUSS Marcel;França;1903;Francês;França;Durkheim, E. e Mauss, M.: “de quelques formes primitives de classification”, Mauss, M.: Oeuvres, vol. 11, Minuit, Paris.;;;;;;;;;;;;;;;;;;;;;
HÉRITIER Françoise;França;1981;Francês;França;Héritier, F.: L'Exercice de Ia parenté, Gallimard, Le Seiul, Paris, 1981;;;;;;;;;;;;;;;;;;;;;
LÉVI-STRAUSS Claude;Argentina;1970;Francês;França;Lévi-Strauss, C.: Tristes trópicos, Ed. Universitário de Buenos Aires, BA, 1970, p. 236.;;;;;;;;;;;;;;;;;;;;;
MALINOWSKI Bronis?aw;Brasil;1922;Inglês;Polônia;Malinowski, B.: Argonautas do Pacífico Ocidental, Coleção Os Pensadores, XLIII, Abril Cultural, SP.;;;;;;;;;;;;;;;;;;;;;
MEAD Margaret;Brasil;1971;Inglês;EUA;Mead, M.: Macho e fêmea, Vozes, RJ, 1971;;;;;;;;;;;;;;;;;;;;;
MEAD Margaret;Brasil;1969;Inglês;EUA;Mead, M. Sexo e temperamento, Perspectiva, SP, 1969;;;;;;;;;;;;;;;;;;;;;
SAHLINS Marshall;Brasil;1979;Inglês;EUA;Sahlins, M.: Cultura e razão prática, Zahar, RJ, 1979.;;;;;;;;;;;;;;;;;;;;;
SCOTT Joan W.;EUA;1988;Inglês;EUA;Scott, J. W., Gender and the politics of history, Columbia University Press, New York, 1988.;;;;;;;;;;;;;;;;;;;;;
STRATHERN Marilyn;EUA;1988;Inglês;País de Gales;Strathern, M.: The gender of the gift, University of California Press, Berkeley, Los Angeles, Landon, 1988.;;;;;;;;;;;;;;;;;;;;;
TURNER Victor;EUA;1974;Inglês;Escócia;Turner, V.: Dramas, fields and metaphors: symbolist action in human society, Cornell University Press, Ithaca and London;;;;;;;;;;;;;;;;;;;;;
TURNER Victor;Inglaterra;1957;Inglês;Escócia;Turner, V. Sehism and continuity in an African Society, Manchester University Press, Manchester;;;;;;;;;;;;;;;;;;;;;
TURNER Victor;Brasil;1974;Inglês;Escócia;Turner, V. O processo ritual, Vozes, Petrópolis, 1974.;;;;;;;;;;;;;;;;;;;;;
CORBIN Alain;França;1978;Francês;França;Alain Corbin - Les filles de noce. Prostitution et misère sexuelle à Paris au XIX siècle. Paris, Flammarion, 1978.;;;;;;;;;;;;;;;;;;;;;
MARQUES Cícero;Brasil;1925;Português;Brasil;Cícero Marques. Tempos passados. São Paulo, Moema, 1925;;;;;;;;;;;;;;;;;;;;;
COBRA Ercília Nogueira;Brasil;1927;Português;Brasil;Ercília Nogueira Cobra. Virgindade inútil e anti-higiénica. 1927.;;;;;;;;;;;;;;;;;;;;;
ROSA Ferreira da;Brasil;1896;Português;Brasil;Ferreira da Rosa. O Lupanar. Estudo sobre o caftismo e a prostituição no Rio de Janeiro., 1896.;;;;;;;;;;;;;;;;;;;;;
VILLARES Laura;Brasil;1927;Português;Brasil;Laura Villares. Extasiso São Paulo, Ed. Antonio Tisi, 1927.;;;;;;;;;;;;;;;;;;;;;
VILLARES Laura;Brasil;1926;Português;Brasil;Laura Villares. Vertigem. São Paulo, Ed. Antonio Tisi, 1926;;;;;;;;;;;;;;;;;;;;;
ENGEL Magali;Brasil;1989;Português;Brasil;Magali Engel. Meretrizes e doutores: saber médico e prostituição na cidade do Rio de Janeiro, 1849-1890, São Paulo, Brasiliense, 1989.;;;;;;;;;;;;;;;;;;;;;
RAGO Margareth;Brasil;1991;Português;Brasil;Margareth Rago, Os prazeres da noite. Prostituição e códigos da sexualidade feminina em São Paulo. Rio de Janeiro, Paz e Terra, 1991.;;;;;;;;;;;;;;;;;;;;;
RAGO Margareth;Brasil;1985;Português;Brasil;Margareth Rago. Do cabaré ao lar. A utopia da cidade disciplinar. Brasil, 1890-1930. Rio de Janeiro, paz e Terra, 1985.;;;;;;;;;;;;;;;;;;;;;
MOURA Maria Lacerda;Brasil;1932;Português;Brasil;Maria Lacerda Moura. Amai... e não vos multipliqueis. Rio de Janeiro, Civilização Brasileira, 1932.;;;;;;;;;;;;;;;;;;;;;
MOURA Maria Lacerda;Brasil;1932;Português;Brasil;Maria Lacerda Moura. Han Ryner e o amor plural. São Paulo, Unitas, 1932;;;;;;;;;;;;;;;;;;;;;
MOTT Maria Lúcia;Brasil;1986;Português;Brasil;Maria Lúcia Mott – “Biografia de uma revoltada: Ercília Nogueira Cobra” IN cadernos de pesquisa, São Paulo, nº 58, agosto, 1986.;;;;;;;;;;;;;;;;;;;;;
LEITE, Miriam Moreira;Brasil;1985;Português;Brasil;Miriam Moreira Leite. A outra face do feminismo: Maria Lacerda de Moura. São Paulo, Editora Ática, 1985;;;;;;;;;;;;;;;;;;;;;
DUARTE, Paulo;Brasil;1975;Português;Brasil;Paulo Duarte. Memórias, vol. 1, São Paulo, HUCITEC, 1975, p. 122.;;;;;;;;;;;;;;;;;;;;;
FLORAL, Sílvio;Brasil;1925;Português;Brasil;Sílvio Floral, Ronda da meia-noite, São Paulo, Cupolo, 1925;;;;;;;;;;;;;;;;;;;;;
FERREIRA, Felix;Brasil;1898;Português;Brasil;Felix Ferreira, A Santa Casa de Misericórdia Fluminense, Rio de Janeiro, 1898, p.172.;;;;;;;;;;;;;;;;;;;;;
ALGRANTI, Leila Mezan;Brasil;1992;Português;Brasil;Leila Mezan Algranti, Honradas e devotas: mulheres da Colônia (1750-1822), Tese de Doutoramento, SP, USP, 1992, pp. 147-158;;;;;;;;;;;;;;;;;;;;;
GONÇALVES, Margareth de Almeida;Brasil;1989;Português;Brasil;Margareth de Almeida Gonçalves, “Dote e casamento: as expostas da Santa Casa de Misericórdia do Rio de Janeiro”, IN Albertina de Oliveira Costa e Cristina Bruschini (orgs), Rebeldia e submissão - Estudos sobre condição feminina, Vértice, SP, 1989.;;;;;;;;;;;;;;;;;;;;;
VAINFAS, Ronaldo;Brasil;1989;Português;Brasil;Ronaldo Vainfas, Trópico dos pecados, moral, sexualidade e inquisição no Brasil, RJ, Campus, 1989, pp. 88-101.;;;;;;;;;;;;;;;;;;;;;
RUSSEL-WOOD, A. J. R.;Inglaterra;1963;Inglês;País de Gales;Russel-Wood Fidalgos and Philanthropists. The Santa Casa da Misericórdia da Bahia, 1550-1755, Macmillan, Londres, 1963, p. 192.;;;;;;;;;;;;;;;;;;;;;
SOARES, Ubaldo;Brasil;1959;Português;Brasil;Ubaldo Soares, O passado heróico da Casa dos Expostos, RJ, 1959, p. 165.;;;;;;;;;;;;;;;;;;;;;
ALMEIDA, Maria Izabel Mendes;Brasil;1987;Português;Brasil;"ALMEIDA, Maria Izabel Mendes. “A Nova Maternidade”: uma ilustração das ambiguidades do processo de modernização da faIlli1ia”. In Figueira, Sérvulo; Org. Uma nova família? O moderno e o arcaico na famí1ia de classe média brasileiro. Jorge Zabar Editor. Rio de Janeiro; pp:55-68, 1987.";;;;;;;;;;;;;;;;;;;;;
ALVIM, M.R.B.;Brasil;1979;Português;Brasil;ALVIM, M.R.B. “Notas sobre a família num grupo de operários têxteis”. In: J.S.L. Lopes e outros, Mudança social no Nordeste: A reprodução da subordinação, Rio de Janeiro, paz e Terra, 1979.;;;;;;;;;;;;;;;;;;;;;
BARROS, Ricardo Pais e FOX, Louise;Brasil;1990;Inglês;Brasil e EUA;BARROS, Ricardo Pais e Louise Fox. “Female Headed Households, Poverty and the Welfare of Children in Urban Brazil”. IPEA, RJ. (mimeo), 1990.;;;;;;;;;;;;;;;;;;;;;
BERQUÓ, Elza;Brasil;1989;Português;Brasil;BERQUÓ, Elza. “A família revisitada do ponto de vista demográfico”. In Revista Brasileira de população, ABEP: v. 6(2):1-16, São Paulo, 1989.;;;;;;;;;;;;;;;;;;;;;
BILAC, Elisabeth;Brasil;1978;Português;Brasil;BILAC, Elisabeth. Famílias de trabalhadores: estratégias de sobrevivência. Coleção Ensaio e Memória 9, Sao Paulo: Símbolo, 1978.;;;;;;;;;;;;;;;;;;;;;
BILAC, Elizabeth;Brasil;1990;Português;Brasil;BILAC, Elizabeth. Convergências e divergências nas estruturas familiares no Brasil. GT Fa.nu.1ia e Sociedade, ANPOCS, XIV da ANPOCS, Caxambu, MG, 1990.;;;;;;;;;;;;;;;;;;;;;
BRANDÃO LOPES, Juarez Rubens;Brasil;1992;Português;Brasil;BRANDÃO LOPES, Juarez Rubens. “Um Estudo sócio-econômico da indigência e da pobreza urbana”, (mimeo), 1992.;;;;;;;;;;;;;;;;;;;;;
CASTRO, Mary Garcia;Brasil;1992;Português;Brasil;CASTRO, Mary Garcia. “Alquimia de categorias sociais na produção dos sujeitos políticos”. In: Estudos Femininos, CIEC /ECO /UFRJ, 1992.;;;;;;;;;;;;;;;;;;;;;
CORRÊA, Mariza;Brasil;1984;Português;Brasil;CORRÊA, Mariza. “Mulher e família. (Anotações para definir um objeto de pesquisa)”. ANPOCS, BIB, v. 18, 1984.;;;;;;;;;;;;;;;;;;;;;
CORRÊA, Mariza;Brasil;1982;Português;Brasil;CORRÊA, Mariza. “Repensando a família patriarcal brasileira: notas para o estudo das formas de organização familiar no Brasil”. In Almeida et al, Colcha de retalhos, Editora. Brasiliense, 1982.;;;;;;;;;;;;;;;;;;;;;
DA MATTA, Roberto;Brasil;1987;Português;Brasil;DA MATTA, Roberto. “A família como valor: considerações não-famíiiares sobre a família brasileira. In Almeida et al. Pensando a fama1ia no Brasil: da Colônia à Modernidade. Co-edição Espaço e Tempo. Editora da UFRJ, Rio de Janeiro, 1987.;;;;;;;;;;;;;;;;;;;;;
DAUSTER, Tania;Brasil;1987;Português;Brasil;"DAUSTER, Tania. “A invenção do amor: amor, sexo e família em camadas médias urbanas”. In Figueira, Sérvulo; Org. Uma nova família? O moderno e o arcaico na família de classe média brasileira. Jorge Zahar Editor. Rio de Janeiro; pp: 99-111, 1987.";;;;;;;;;;;;;;;;;;;;;
DURHAN, Eunice;Brasil;1980;Português;Brasil;DURHAN, Eunice. “Família operária - consciência e ideologia”. Dados - Revista de ciências sociais, 23(2), pp. 201-213, 1980.;;;;;;;;;;;;;;;;;;;;;
DURHAN, Eunice & CARDOSO, R.;Brasil;1979;Português;Brasil;DURHAN, Eunice. & CARDOSO, R. “Elaboração cultural e participação sodal nas populações de baixa renda”. In: Ciência e Cultura, São Paulo, 29(2), Fev., pp.171-177, 1979.;;;;;;;;;;;;;;;;;;;;;
DURHAN, Eunice Ribeiro;Brasil;1982;Português;Brasil;DURHAN, Eunice Ribeiro. “Família e Casamento”. In Terceiro Encontro Nacional da ABEP, São Paulo, 1982.;;;;;;;;;;;;;;;;;;;;;
FARIA, Wilmar;Brasil;1989;Português;Brasil;FARIA, Wilmar. “Políticas de Governo e regulação da fecundidade: consequências não antecipadas e efeitos perversos. In: Ciências Sociais Hoje, São Paulo. Edições Vértice, 1989.;;;;;;;;;;;;;;;;;;;;;
FAUSTO NETO, A.Q.;Brasil;1982;Português;Brasil;FAUSTO, Neto, A.Q. Família operária e reprodução da força de trabalho, Petrópolis, Vozes, 1982.;;;;;;;;;;;;;;;;;;;;;
FIGUEIRA, Sérvulo;Brasil;1987;Português;Brasil;FIGUEIRA, Sérvulo. “O ‘moderno’ e o ‘arcaico’ na nova família brasileira: notas sobre a dimensão invisível da mudança social”. In Uma nova família? O moderno e o arcaico na familia de classe média brasileira. Jorge Zahar Editor. Rio de Janeiro.;;;;;;;;;;;;;;;;;;;;;
FIGUEIRA, Sérvulo;Brasil;1987;Português;Brasil;FIGUEIRA, Sérvulo. 1985. “O Papel da Psicanálise no Entendimento da construção da subjetividade. In: Pensando a Família no Brasil: da Colônia à Modernidade. Co-edição Espaço e Tempo / Editora da UFRJ, Rio de Janeiro, 1987.;;;;;;;;;;;;;;;;;;;;;
FUKUI, Lia;Brasil;1980;Português;Brasil;FUKUI, Lia. “Estudos e pesquisas sobre famI1ia no Brasil”. In Resenha Bibliográfica, BIB, Rio de Janeiro, ng 10:13-23, 1980.;;;;;;;;;;;;;;;;;;;;;
GODARD, Francis;Inglaterra;1985;Inglês;França;GODARD, Francis. “How do ways of life change?” In: Beyond employment: Household, Gender and Subsistence. Ed. Nanneke Redclift and Enzo Mingione, 1985.;;;;;;;;;;;;;;;;;;;;;
GOLDANI, Ana Maria;América Latina;1993;Português;Brasil;GOLDANI, Ana Maria. “A família brasileira em transição”. In Família, Desarollo y Dinamica de Población en America Latina. Comissión Economica para America Latina y deI Caribe (CEPAL) e Centro Latinoamericano de Demografia (CELADE), 1993.;;;;;;;;;;;;;;;;;;;;;
GOLDANI, Ana Maria;Inglaterra;1990;Inglês;Brasil;"GOLDANI, Ana Maria. “Changing brazilian families and the consequent need for public policy”. In lnternational Social Science. Journal, 126:523-538; November, Basil Blackwell/ UNESCO, 1990.";;;;;;;;;;;;;;;;;;;;;
GOLDANI, Ana Maria;Brasil;1990;Português;Brasil;"GOLDANI, Ana Maria. “Diferenças raciais no processo de formação da família no Brasil”. In Cadernos Cândido Mendes, Estudos Afro-Asiáticos, 19; Rio de Janeiro, 1990.";;;;;;;;;;;;;;;;;;;;;
