ANO,Nº,TIPO,AUTORIA,LÍNGUA DE PUBLICAÇÃO,TRADUTOR(A),LOCALIZAÇÃO DA AUTORIA (país),TÍTULO,PALAVRAS-         CHAVE,PLANILHA CITAÇÕES E REFS
1993,1,Artigo regular,Mariza Corrêa,PT,x,Brasil,A propósito de Pagu,x,CP_n01_1993_art1
1993,1,Artigo regular,Suely Kofes,PT,x,Brasil,"Categorias analítica e empírica: Gênero e Mulher - disjunções, conjunções e mediações",x,CP_n01_1993_art2
1993,1,Artigo regular,Luzia Margareth Rago,PT,x,Brasil,Imagens da prostituição na Belle Epoque paulistana,x,CP_n01_1993_art3
1993,1,Artigo regular,Leila Mezan Algranti,PT,x,Brasil,A irmandade da Santa Casa de Misericórdia e a concessão de dotes (1808-1822),x,CP_n01_1993_art4 
1993,1,Artigo regular,Ana Maria Goldani,PT,x,Brasil,As famílias no Brasil contemporâneo e o mito da desestruturação,x,CP_n01_1993_art5
1993,1,Artigo regular,Carla Bassanezi,PT,x,Brasil,Revistas femininas e o ideal de felicidade conjugal (1945-1964),x,CP_n01_1993_art6
1993,1,Artigo regular,Adriana G. Piscitelli,PT,x,Brasil,"Tradição oral, memória e gênero: um comentário metodoloógico",x,CP_n01_1993_art7
1994,2,Artigo regular,Patricia Seed,EN>PT,Mariza Corrêa,EUA,NARRATIVAS DE DON JUAN: a linguagem da sedução na literatura e na sociedade espanhola do século dezessete,x,CP_n02_1994_art1
1994,2,Artigo regular,Carlos Alberto Dória,PT,x,Brasil,A TRADIÇÃO HONRADA(a honra como tema de cultura e na sociedade ibero-americana),x,CP_n02_1994_art2
1994,2,Artigo regular,Joaquim Brasil Fontes,PT,x,Brasil,Imagens de Safo,x,CP_n02_1994_art3
1994,2,Artigo regular,Claudia de Lima Costa,PT,x,Brasil,"O LEITO DE PROCUSTO: Gênero, Linguagem e as Teorias Feministas",x,CP_n02_1994_art4
1994,2,Artigo regular,Karla Adriana Martins Bessa,PT,x,Brasil,O crime de sedução e as relações de gênero ,x,CP_n02_1994_art5
1994,2,Artigo regular,Verena Stolcke,ES>PT,Ricardo Augusto Vieira,Espanha,Mães para uma nova pátria europeia,x,CP_n02_1994_art6
